Nov 18, 2022  03:07:17 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004
Original filename: Helium_1bar_spektrum_ubersicht_ plastikfolie_RGA.txt

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 2.00E-007 
Filament Current, 1.00, mAmps

A,B,
 41.20,   4.33E-006, 
 41.30,   2.61E-006, 
 41.40,   1.66E-006, 
 41.50,   1.09E-006, 
 41.60,   8.97E-007, 
 41.70,   1.19E-006, 
 41.80,   1.49E-006, 
 41.90,   1.62E-006, 
 42.00,   1.71E-006, 
 42.10,   1.92E-006, 
 42.20,   1.78E-006, 
 42.30,   1.16E-006, 
 42.40,   7.32E-007, 
 42.50,   6.94E-007, 
 42.60,   1.06E-006, 
 42.70,   1.91E-006, 
 42.80,   2.87E-006, 
 42.90,   3.85E-006, 
 43.00,   4.88E-006, 
 43.10,   5.25E-006, 
 43.20,   4.08E-006, 
 43.30,   2.53E-006, 
 43.40,   1.57E-006, 
 43.50,   1.14E-006, 
 43.60,   1.13E-006, 
 43.70,   1.64E-006, 
 43.80,   2.08E-006, 
 43.90,   2.25E-006, 
 44.00,   2.50E-006, 
 44.10,   2.66E-006, 
 44.20,   1.83E-006, 
 44.30,   1.29E-006, 
 44.40,   7.09E-007, 
 44.50,   5.81E-007, 
 44.60,   6.10E-007, 
 44.70,   6.67E-007, 
 44.80,   6.19E-007, 
 44.90,   5.96E-007, 
 45.00,   7.63E-007, 
 45.10,   9.99E-007, 
 45.20,   7.27E-007, 
 45.30,   4.47E-007, 
 45.40,   2.63E-007, 
 45.50,   3.46E-007, 
 45.60,   1.82E-007, 
 45.70,   1.42E-007, 
 45.80,   2.01E-007, 
 45.90,   3.22E-007, 
 46.00,   4.20E-007, 
 46.10,   2.32E-007, 
 46.20,   2.92E-007, 
 46.30,   3.85E-007, 
 46.40,   3.19E-007, 
 46.50,   1.49E-007, 
 46.60,   2.16E-007, 
 46.70,   2.29E-007, 
 46.80,   3.36E-007, 
 46.90,   8.15E-008, 
 47.00,   1.74E-007, 
 47.10,   2.26E-007, 
 47.20,   4.53E-007, 
 47.30,   1.27E-007, 
 47.40,   1.66E-007, 
 47.50,   1.58E-007, 
 47.60,   3.40E-007, 
 47.70,   1.28E-007, 
 47.80,   1.28E-007, 
 47.90,   1.35E-007, 
 48.00,   2.75E-007, 
 48.10,   1.62E-007, 
 48.20,   1.74E-007, 
 48.30,   1.12E-007, 
 48.40,   1.71E-007, 
 48.50,   8.10E-008, 
 48.60,   1.42E-007, 
 48.70,   1.65E-007, 
 48.80,   3.02E-007, 
 48.90,   1.53E-007, 
 49.00,   5.95E-008, 
 49.10,   1.05E-007, 
 49.20,   1.05E-007, 
 49.30,   1.91E-007, 
 49.40,   1.23E-007, 
 49.50,   1.68E-007, 
 49.60,   2.35E-007, 
 49.70,   3.63E-007, 
 49.80,   2.34E-007, 
 49.90,   3.42E-007, 
 50.00,   3.93E-007, 
 50.10,   6.33E-007, 
 50.20,   3.05E-007, 
 50.30,   3.44E-007, 
 50.40,   2.22E-007, 
 50.50,   4.26E-007, 
 50.60,   2.92E-007, 
 50.70,   3.21E-007, 
 50.80,   3.32E-007, 
 50.90,   6.27E-007, 
 51.00,   4.42E-007, 
 51.10,   5.05E-007, 
 51.20,   3.55E-007, 
 51.30,   5.09E-007, 
 51.40,   2.74E-007, 
 51.50,   1.37E-007, 
 51.60,   1.27E-007, 
 51.70,   3.16E-007, 
 51.80,   2.81E-007, 
 51.90,   2.93E-007, 
 52.00,   3.10E-007, 
 52.10,   4.28E-007, 
 52.20,   3.61E-007, 
 52.30,   2.27E-007, 
 52.40,   2.08E-007, 
 52.50,   2.03E-007, 
 52.60,   3.12E-007, 
 52.70,   1.68E-007, 
 52.80,   3.07E-007, 
 52.90,   4.45E-007, 
 53.00,   6.79E-007, 
 53.10,   6.46E-007, 
 53.20,   6.27E-007, 
 53.30,   4.70E-007, 
 53.40,   4.66E-007, 
 53.50,   1.95E-007, 
 53.60,   2.85E-007, 
 53.70,   3.03E-007, 
 53.80,   5.57E-007, 
 53.90,   4.46E-007, 
 54.00,   5.86E-007, 
 54.10,   5.96E-007, 
 54.20,   6.28E-007, 
 54.30,   5.76E-007, 
 54.40,   5.15E-007, 
 54.50,   4.42E-007, 
 54.60,   7.51E-007, 
 54.70,   1.34E-006, 
 54.80,   1.96E-006, 
 54.90,   2.53E-006, 
 55.00,   3.19E-006, 
 55.10,   3.70E-006, 
 55.20,   3.57E-006, 
 55.30,   2.33E-006, 
 55.40,   1.35E-006, 
 55.50,   9.85E-007, 
 55.60,   7.86E-007, 
 55.70,   7.86E-007, 
 55.80,   1.22E-006, 
 55.90,   1.57E-006, 
 56.00,   1.82E-006, 
 56.10,   2.08E-006, 
 56.20,   2.15E-006, 
 56.30,   1.66E-006, 
 56.40,   1.14E-006, 
 56.50,   7.44E-007, 
 56.60,   7.33E-007, 
 56.70,   1.36E-006, 
 56.80,   2.27E-006, 
 56.90,   2.98E-006, 
 57.00,   3.55E-006, 
 57.10,   4.49E-006, 
 57.20,   4.54E-006, 
 57.30,   3.39E-006, 
 57.40,   1.65E-006, 
 57.50,   1.15E-006, 
 57.60,   7.73E-007, 
 57.70,   7.59E-007, 
 57.80,   6.63E-007, 
 57.90,   7.82E-007, 
 58.00,   9.52E-007, 
 58.10,   1.23E-006, 
 58.20,   9.63E-007, 
 58.30,   6.87E-007, 
 58.40,   5.01E-007, 
 58.50,   5.14E-007, 
 58.60,   2.92E-007, 
 58.70,   2.59E-007, 
 58.80,   5.96E-007, 
 58.90,   8.21E-007, 
 59.00,   7.72E-007, 
 59.10,   9.14E-007, 
 59.20,   8.05E-007, 
 59.30,   7.93E-007, 
 59.40,   5.69E-007, 
 59.50,   3.35E-007, 
 59.60,   3.22E-007, 
 59.70,   3.94E-007, 
 59.80,   4.73E-007, 
 59.90,   2.81E-007, 
 60.00,   3.14E-007, 
 60.10,   3.82E-007, 
 60.20,   5.65E-007, 
 60.30,   2.72E-007, 
 60.40,   2.18E-007, 
 60.50,   1.78E-007, 
 60.60,   4.31E-007, 
 60.70,   1.67E-007, 
 60.80,   2.35E-007, 
 60.90,   2.50E-007, 
 61.00,   3.72E-007, 
 61.10,   2.70E-007, 
 61.20,   2.50E-007, 
 61.30,   2.41E-007, 
 61.40,   3.41E-007, 
 61.50,   1.71E-007, 
 61.60,   1.77E-007, 
 61.70,   1.69E-007, 
 61.80,   3.06E-007, 
 61.90,   1.42E-007, 
 62.00,   1.62E-007, 
 62.10,   1.46E-007, 
 62.20,   3.13E-007, 
 62.30,   3.50E-008, 
 62.40,   1.49E-007, 
 62.50,  -2.15E-008, 
 62.60,   2.51E-007, 
 62.70,   9.75E-008, 
 62.80,   2.10E-007, 
 62.90,   4.85E-008, 
 63.00,   4.26E-007, 
 63.10,   1.66E-007, 
 63.20,   2.10E-007, 
 63.30,   5.40E-008, 
 63.40,   2.88E-007, 
 63.50,   1.31E-007, 
 63.60,   1.57E-007, 
 63.70,   5.90E-008, 
 63.80,   2.23E-007, 
 63.90,   2.71E-007, 
 64.00,   2.96E-007, 
 64.10,   1.76E-007, 
 64.20,   2.42E-007, 
 64.30,   2.63E-007, 
 64.40,   1.80E-007, 
 64.50,   1.59E-007, 
 64.60,   2.76E-007, 
 64.70,   1.90E-007, 
 64.80,   1.21E-007, 
 64.90,   2.52E-007, 
 65.00,   2.80E-007, 
